"series","timestamp","value","label"
"Set","2019-06-15T00:00:00Z",1050,""
"Rise","2019-06-15T00:00:00Z",710,""
"Set","2019-06-16T00:00:00Z",150,""
"Rise","2019-06-16T00:00:00Z",325,""
"Set","2019-06-16T00:00:00Z",720,""
"Rise","2019-06-17T00:00:00Z",535,""
"Set","2019-06-17T00:00:00Z",835,""
"Rise","2019-06-18T00:00:00Z",535,""
"Set","2019-06-18T00:00:00Z",805,""
"Rise","2019-06-19T00:00:00Z",410,""
"Set","2019-06-19T00:00:00Z",790,""
"Rise","2019-06-20T00:00:00Z",405,""
"Set","2019-06-20T00:00:00Z",795,""
"Rise","2019-06-21T00:00:00Z",405,""
"Set","2019-06-21T00:00:00Z",810,""
"Rise","2019-06-22T00:00:00Z",400,""
"Set","2019-06-22T00:00:00Z",810,""
"Rise","2019-06-23T00:00:00Z",390,""
"Set","2019-06-23T00:00:00Z",805,""
"Rise","2019-06-24T00:00:00Z",410,""
"Set","2019-06-24T00:00:00Z",810,""
"Rise","2019-06-25T00:00:00Z",410,""
"Set","2019-06-25T00:00:00Z",815,""
"Rise","2019-06-26T00:00:00Z",410,""
"Set","2019-06-26T00:00:00Z",805,""
"Rise","2019-06-27T00:00:00Z",405,""
"Set","2019-06-27T00:00:00Z",820,""
"Rise","2019-06-28T00:00:00Z",400,""
"Set","2019-06-28T00:00:00Z",815,""
"Rise","2019-06-29T00:00:00Z",395,""
"Set","2019-06-29T00:00:00Z",810,""
"Rise","2019-06-30T00:00:00Z",395,""
"Set","2019-06-30T00:00:00Z",820,""
"Rise","2019-07-01T00:00:00Z",395,""
"Set","2019-07-01T00:00:00Z",810,""
"Rise","2019-07-02T00:00:00Z",400,""
"Set","2019-07-02T00:00:00Z",810,""
"Rise","2019-07-03T00:00:00Z",400,""
"Set","2019-07-03T00:00:00Z",810,""
"Rise","2019-07-04T00:00:00Z",405,""
"Set","2019-07-04T00:00:00Z",835,""
"Rise","2019-07-05T00:00:00Z",400,""
"Set","2019-07-05T00:00:00Z",815,""
"Rise","2019-07-06T00:00:00Z",395,""
"Set","2019-07-06T00:00:00Z",840,""
"Rise","2019-07-07T00:00:00Z",395,""
"Set","2019-07-07T00:00:00Z",850,""
"Rise","2019-07-08T00:00:00Z",405,""
"Set","2019-07-08T00:00:00Z",860,""
"Rise","2019-07-09T00:00:00Z",405,""
"Set","2019-07-09T00:00:00Z",850,""
"Rise","2019-07-10T00:00:00Z",385,""
"Set","2019-07-10T00:00:00Z",825,""
"Rise","2019-07-11T00:00:00Z",395,""
"Set","2019-07-11T00:00:00Z",840,""
"Rise","2019-07-12T00:00:00Z",395,""
"Set","2019-07-12T00:00:00Z",820,""
"Rise","2019-07-13T00:00:00Z",385,""
"Set","2019-07-13T00:00:00Z",850,""
"Rise","2019-07-14T00:00:00Z",385,""
"Set","2019-07-14T00:00:00Z",845,""
"Rise","2019-07-15T00:00:00Z",390,""
"Set","2019-07-15T00:00:00Z",875,""
"Rise","2019-07-16T00:00:00Z",370,""
"Set","2019-07-16T00:00:00Z",850,""
"Rise","2019-07-17T00:00:00Z",395,""
"Set","2019-07-17T00:00:00Z",860,""
"Rise","2019-07-18T00:00:00Z",360,""
"Set","2019-07-18T00:00:00Z",875,""
"Rise","2019-07-19T00:00:00Z",380,""
"Set","2019-07-19T00:00:00Z",865,""
"Rise","2019-07-20T00:00:00Z",385,""
"Set","2019-07-20T00:00:00Z",860,""
"Rise","2019-07-21T00:00:00Z",380,""
"Set","2019-07-21T00:00:00Z",850,""
"Rise","2019-07-22T00:00:00Z",370,""
"Set","2019-07-22T00:00:00Z",875,""
"Rise","2019-07-23T00:00:00Z",380,""
"Set","2019-07-23T00:00:00Z",865,""
"Rise","2019-07-24T00:00:00Z",370,""
"Set","2019-07-24T00:00:00Z",860,""
"Rise","2019-07-25T00:00:00Z",375,""
"Set","2019-07-25T00:00:00Z",845,""
"Rise","2019-07-26T00:00:00Z",370,""
