ring_number,tag_id,observation_type,datetime,latitude,longitude,location_name,device_status,catching_method,age_class,sex,mass,wing_length,additional_metric,observation_comments
E000378,22CA,equipment,2018-06-21T23:30,48.582136,110.811236,ONON RIVER,present,M,4,M,65,191,"{""tail"": 126.0, ""bill_length"": 9.85, ""bill_width"": 7.02}",Caprimulgus europeaus
E000379,22BU,equipment,2018-06-21T23:59,48.580888,110.807874,ONON RIVER,present,M,4,M,66,193,"{""tail"": 139.0, ""bill_length"": 9.24, ""bill_width"": 7.34}",Caprimulgus europeaus
E000380,,capture,2018-06-22T03:00,48.580295,110.81047,ONON RIVER,none,M,4,F,80,201,"{""tail"": 139.0, ""bill_length"": 9.58, ""bill_width"": 7.04}",Caprimulgus europeaus
E000381,,capture,2018-06-22T03:00,48.582136,110.811236,ONON RIVER,none,M,4,M,64,192,"{""bill_length"": 8.89, ""bill_width"": 6.87}",Caprimulgus europeaus
E000382,22BI,equipment,2018-06-22T21:30,48.570665,110.832602,ONON RIVER,present,M,4,M,57,199,"{""tail"": 144.0, ""bill_length"": 8.65, ""bill_width"": 7.32}",Caprimulgus europeaus
E000383,22BS,equipment,2018-06-22T21:30,48.570665,110.832602,ONON RIVER,present,M,4,M,64,197,"{""tail"": 144.0, ""bill_length"": 9.21, ""bill_width"": 8.03}",Caprimulgus europeaus
E000383,24HD,equipment,2019-06-20T22:00,48.615647,110.60563,ONON RIVER,present,M,6,M,61,196,"{""tail"": 138.0}",Caprimulgus europeaus
E000383,22BS,retrieval,2019-06-20T22:00,48.615647,110.60563,ONON RIVER,present,M,6,M,61,196,"{""tail"": 138.0}",Caprimulgus europeaus
E000384,,capture,2018-06-22T21:30,48.570665,110.832602,ONON RIVER,none,M,4,F,78,193,"{""tail"": 135.0, ""bill_length"": 8.11, ""bill_width"": 7.25}",Caprimulgus europeaus
E000385,,capture,2018-06-24T21:30,48.559492,110.883357,ONON RIVER,none,M,4,F,70,201,"{""tail"": 145.0, ""bill_length"": 8.57, ""bill_width"": 6.98}",Caprimulgus europeaus
E000385,,capture,2019-06-22T04:00,48.559309,110.882959,ONON RIVER,none,M,6,F,,204,"{""tail"": 130.0}",Caprimulgus europeaus
E000386,,capture,2018-06-22T21:30,48.570665,110.832602,ONON RIVER,none,M,4,F,78,202,"{""tail"": 141.0, ""bill_length"": 9.28, ""bill_width"": 7.1}",Caprimulgus europeaus
E000387,22CB,equipment,2018-06-25T00:30,48.559492,110.883357,ONON RIVER,present,M,4,M,75,198,"{""tail"": 142.0, ""bill_length"": 9.13, ""bill_width"": 7.1}",Caprimulgus europeaus
E000388,22BW,equipment,2018-06-25T01:30,48.560682,110.883569,ONON RIVER,present,M,2,M,69,197,"{""tail"": 145.0, ""bill_length"": 8.78, ""bill_width"": 7.24}",Caprimulgus europeaus
E000389,22AY,equipment,2018-06-25T22:00,48.592992,110.690151,ONON RIVER,present,M,0,M,66,205,"{""tail"": 147.0, ""bill_length"": 8.11, ""bill_width"": 7.15}",Caprimulgus europeaus
