tag_id,ring_number,scientific_name,manufacturer,model,firmware,weight,attachment_type,readout_method,tag_comments
22AS,E000501,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22AY,E000389,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22AZ,E000397,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22BA,E000504,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22BB,E000506,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22BC,E000509,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22BD,E000394,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22BI,E000382,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22BJ,E000507,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22BQ,E000510,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22BR,E000396,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
22BS,E000383,Caprimulgus europeaus,Swiss Ornithological Institue,HW_GDL3pam_V2.3,FW_GDL3pam_V2.3.1,,backpack-harness,tag-retrieval,
