series,timestamp,value,label
Rise,2019-06-16T09:00:00.000Z,870,discard
Set,2019-06-16T12:00:00.000Z,1050,discard
Rise,2019-06-16T18:30:00.000Z,0,discard
Set,2019-06-17T15:30:00.000Z,1260,discard
Rise,2019-06-17T20:25:00.000Z,115,1
Set,2019-06-18T15:30:00.000Z,1260,discard
Rise,2019-06-18T19:55:00.000Z,85,1
Set,2019-06-19T13:25:00.000Z,1135,1
Rise,2019-06-19T19:40:00.000Z,70,1
Set,2019-06-20T13:20:00.000Z,1130,1
Rise,2019-06-20T19:45:00.000Z,75,1
Set,2019-06-21T13:20:00.000Z,1130,1
Rise,2019-06-21T20:00:00.000Z,90,1
Set,2019-06-22T13:15:00.000Z,1125,1
Rise,2019-06-22T20:00:00.000Z,90,1
Set,2019-06-23T13:05:00.000Z,1115,1
Rise,2019-06-23T19:55:00.000Z,85,1
Set,2019-06-24T13:25:00.000Z,1135,1
Rise,2019-06-24T20:00:00.000Z,90,1
Set,2019-06-25T13:25:00.000Z,1135,1
Rise,2019-06-25T20:05:00.000Z,95,1
Set,2019-06-26T13:25:00.000Z,1135,1
Rise,2019-06-26T19:55:00.000Z,85,1
Set,2019-06-27T13:20:00.000Z,1130,1
Rise,2019-06-27T20:10:00.000Z,100,1
Set,2019-06-28T13:15:00.000Z,1125,1
Rise,2019-06-28T20:05:00.000Z,95,1
Set,2019-06-29T13:10:00.000Z,1120,1
Rise,2019-06-29T20:00:00.000Z,90,1
Set,2019-06-30T13:10:00.000Z,1120,1
Rise,2019-06-30T20:10:00.000Z,100,1
Set,2019-07-01T13:10:00.000Z,1120,1
Rise,2019-07-01T20:00:00.000Z,90,1
Set,2019-07-02T13:15:00.000Z,1125,1
Rise,2019-07-02T20:00:00.000Z,90,1
Set,2019-07-03T13:15:00.000Z,1125,1
Rise,2019-07-03T20:00:00.000Z,90,1
Set,2019-07-04T13:20:00.000Z,1130,1
Rise,2019-07-04T20:25:00.000Z,115,1
Set,2019-07-05T13:15:00.000Z,1125,1
Rise,2019-07-05T20:05:00.000Z,95,1
Set,2019-07-06T13:10:00.000Z,1120,1
Rise,2019-07-06T20:30:00.000Z,120,1
Set,2019-07-07T13:10:00.000Z,1120,1
Rise,2019-07-07T20:40:00.000Z,130,1
Set,2019-07-08T13:20:00.000Z,1130,1
Rise,2019-07-08T20:50:00.000Z,140,1
Set,2019-07-09T13:20:00.000Z,1130,1
Rise,2019-07-09T20:40:00.000Z,130,1
Set,2019-07-10T13:00:00.000Z,1110,1
Rise,2019-07-10T20:15:00.000Z,105,1
Set,2019-07-11T13:10:00.000Z,1120,1
Rise,2019-07-11T20:30:00.000Z,120,1
Set,2019-07-12T13:10:00.000Z,1120,1
Rise,2019-07-12T20:10:00.000Z,100,1
Set,2019-07-13T13:00:00.000Z,1110,1
Rise,2019-07-13T20:40:00.000Z,130,1
Set,2019-07-14T13:00:00.000Z,1110,1
Rise,2019-07-14T20:35:00.000Z,125,1
Set,2019-07-15T13:05:00.000Z,1115,1
Rise,2019-07-15T21:05:00.000Z,155,1
Set,2019-07-16T12:45:00.000Z,1095,1
Rise,2019-07-16T20:40:00.000Z,130,1
Set,2019-07-17T13:10:00.000Z,1120,1
Rise,2019-07-17T20:50:00.000Z,140,1
Set,2019-07-18T12:35:00.000Z,1085,1
Rise,2019-07-18T21:05:00.000Z,155,1
Set,2019-07-19T12:55:00.000Z,1105,1
Rise,2019-07-19T20:55:00.000Z,145,1
Set,2019-07-20T13:00:00.000Z,1110,1
Rise,2019-07-20T20:50:00.000Z,140,1
Set,2019-07-21T12:55:00.000Z,1105,1
Rise,2019-07-21T20:40:00.000Z,130,1
Set,2019-07-22T12:45:00.000Z,1095,1
Rise,2019-07-22T21:05:00.000Z,155,1
Set,2019-07-23T12:55:00.000Z,1105,1
Rise,2019-07-23T20:55:00.000Z,145,1
Set,2019-07-24T12:45:00.000Z,1095,1
Rise,2019-07-24T20:50:00.000Z,140,1
Set,2019-07-25T12:50:00.000Z,1100,1
Rise,2019-07-25T20:35:00.000Z,125,1
Set,2019-07-26T12:45:00.000Z,1095,1
